Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
Ascent Business Solutions,3.3,(406),Analytics & KPO | Nagpur +14 other locations,2.3k,Analytics & KPO | Nagpur +14 other locations,https://www.ambitionbox.com/overview/Ascent Business Solutions-overview
Buzzworks Business Services,3.8,(408),Recruitment | Chennai +60 other locations,1.9k,Recruitment | Chennai +60 other locations,https://www.ambitionbox.com/overview/Buzzworks Business Services-overview
Think Gas Ludhiana,3.8,(405),Oil & Gas | Chennai +45 other locations,1.9k,Oil & Gas | Chennai +45 other locations,https://www.ambitionbox.com/overview/Think Gas Ludhiana-overview
Accel Frontline,4.1,(401),IT Services & Consulting | Chennai +56 other locations,775,IT Services & Consulting | Chennai +56 other locations,https://www.ambitionbox.com/overview/Accel Frontline-overview
Aptus Value Housing Finance India,4.0,(403),NBFC | Chennai +128 other locations,1.2k,NBFC | Chennai +128 other locations,https://www.ambitionbox.com/overview/Aptus Value Housing Finance India-overview
B. Braun Medical,4.0,(405),Healthcare | Mumbai +46 other locations,1.5k,Healthcare | Mumbai +46 other locations,https://www.ambitionbox.com/overview/B. Braun Medical-overview
Jockey,4.4,(408),Fashion & Textile | Bangalore / Bengaluru +121 other locations,1.3k,Fashion & Textile | Bangalore / Bengaluru +121 other locations,https://www.ambitionbox.com/overview/Jockey-overview
Honda Logistics,3.8,(403),Logistics | Bhiwadi +25 other locations,1.5k,Logistics | Bhiwadi +25 other locations,https://www.ambitionbox.com/overview/Honda Logistics-overview
Nash Industries,3.6,(405),Industrial Machinery | Bangalore / Bengaluru +14 other locations,2.2k,Industrial Machinery | Bangalore / Bengaluru +14 other locations,https://www.ambitionbox.com/overview/Nash Industries-overview
C-Edge Technologies,3.8,(407),IT Services & Consulting | Mumbai +19 other locations,2.4k,IT Services & Consulting | Mumbai +19 other locations,https://www.ambitionbox.com/overview/C-Edge Technologies-overview
Thales,3.6,(402),IT Services & Consulting | Noida +18 other locations,3.1k,IT Services & Consulting | Noida +18 other locations,https://www.ambitionbox.com/overview/Thales-overview
Kaya Skin Clinic,3.7,(403),Beauty & Personal Care | Mumbai +36 other locations,1.1k,Beauty & Personal Care | Mumbai +36 other locations,https://www.ambitionbox.com/overview/Kaya Skin Clinic-overview
C5i,3.8,(415),Analytics & KPO | Bangalore / Bengaluru +15 other locations,2.6k,Analytics & KPO | Bangalore / Bengaluru +15 other locations,https://www.ambitionbox.com/overview/C5i-overview
Venky's,3.7,(403),FMCG | Pune +65 other locations,1.4k,FMCG | Pune +65 other locations,https://www.ambitionbox.com/overview/Venky's-overview
SABIC,4.2,(402),Chemicals | Bangalore / Bengaluru +20 other locations,1.4k,Chemicals | Bangalore / Bengaluru +20 other locations,https://www.ambitionbox.com/overview/SABIC-overview
MagicPin,2.6,(403),Internet | Gurgaon / Gurugram +19 other locations,1.8k,Internet | Gurgaon / Gurugram +19 other locations,https://www.ambitionbox.com/overview/MagicPin-overview
Tetra Pak,4.1,(408),Packaging | Pune +17 other locations,2.2k,Packaging | Pune +17 other locations,https://www.ambitionbox.com/overview/Tetra Pak-overview
Iol Chemicals & Pharmaceuticals,3.9,(406),Pharma | Barnala +14 other locations,1.7k,Pharma | Barnala +14 other locations,https://www.ambitionbox.com/overview/Iol Chemicals & Pharmaceuticals-overview
St. Xavier's High School,3.9,(400),Education & Training | Gurgaon / Gurugram +117 other locations,1.5k,Education & Training | Gurgaon / Gurugram +117 other locations,https://www.ambitionbox.com/overview/St. Xavier's High School-overview
Dharampal Premchand,4.2,(402),FMCG | Noida +62 other locations,1.2k,FMCG | Noida +62 other locations,https://www.ambitionbox.com/overview/Dharampal Premchand-overview
ASM Technologies,3.7,(404),Engineering & Construction | Bangalore / Bengaluru +19 other locations,3.1k,Engineering & Construction | Bangalore / Bengaluru +19 other locations,https://www.ambitionbox.com/overview/ASM Technologies-overview
360 Realtors,3.8,(402),Real Estate | Pune +25 other locations,1.5k,Real Estate | Pune +25 other locations,https://www.ambitionbox.com/overview/360 Realtors-overview
QBurst Technologies,4.4,(407),Software Product | Kochi +15 other locations,3.2k,Software Product | Kochi +15 other locations,https://www.ambitionbox.com/overview/QBurst Technologies-overview
